topk,run,test nodes,fault coverage,node_coverage(%),avg_rmse,max_rmse,escaped_nodes,escaped_faults
100,58,20,85.00,100.00,0.0000,0.0000,0,6
100,59,20,72.50,90.00,0.0000,0.0000,2,11
100,6,20,75.00,95.00,0.0000,0.0000,1,10
100,60,20,67.50,95.00,0.0000,0.0000,1,13
100,61,20,72.50,90.00,0.0000,0.0000,2,11
100,62,20,82.50,95.00,0.0000,0.0000,1,7
100,63,20,82.50,100.00,0.0000,0.0000,0,7
100,64,20,75.00,90.00,0.0000,0.0000,2,10
100,65,20,85.00,100.00,0.0000,0.0000,0,6
100,66,20,77.50,90.00,0.0000,0.0000,2,9
100,67,20,77.50,95.00,0.0000,0.0000,1,9
100,68,20,72.50,95.00,0.0000,0.0000,1,11
100,69,20,87.50,100.00,0.0000,0.0000,0,5
100,7,20,67.50,85.00,0.0000,0.0000,3,13
100,70,20,77.50,95.00,0.0000,0.0000,1,9
100,71,20,77.50,100.00,0.0000,0.0000,0,9
100,72,20,77.50,95.00,0.0000,0.0000,1,9
100,73,20,82.50,100.00,0.0000,0.0000,0,7
100,74,20,82.50,100.00,0.0000,0.0000,0,7
100,75,20,62.50,90.00,0.0000,0.0000,2,15
100,76,20,80.00,95.00,0.0000,0.0000,1,8
100,77,20,85.00,100.00,0.0000,0.0000,0,6
100,78,20,77.50,100.00,0.0000,0.0000,0,9
100,79,20,60.00,80.00,0.0000,0.0000,4,16
100,8,20,80.00,95.00,0.0000,0.0000,1,8
100,80,20,82.50,100.00,0.0000,0.0000,0,7
100,81,20,75.00,95.00,0.0000,0.0000,1,10
100,82,20,77.50,95.00,0.0000,0.0000,1,9
100,83,20,65.00,90.00,0.0000,0.0000,2,14
100,84,20,77.50,95.00,0.0000,0.0000,1,9
100,85,20,72.50,90.00,0.0000,0.0000,2,11
100,86,20,80.00,100.00,0.0000,0.0000,0,8
100,87,20,80.00,100.00,0.0000,0.0000,0,8
100,88,20,77.50,95.00,0.0000,0.0000,1,9
100,89,20,77.50,95.00,0.0000,0.0000,1,9
100,9,20,80.00,100.00,0.0000,0.0000,0,8
100,90,20,85.00,100.00,0.0000,0.0000,0,6
100,91,20,85.00,95.00,0.0000,0.0000,1,6
100,92,20,72.50,95.00,0.0000,0.0000,1,11
100,93,20,72.50,80.00,0.0000,0.0000,4,11
100,94,20,77.50,95.00,0.0000,0.0000,1,9
100,95,20,77.50,100.00,0.0000,0.0000,0,9
100,96,20,75.00,95.00,0.0000,0.0000,1,10
100,97,20,75.00,95.00,0.0000,0.0000,1,10
100,98,20,82.50,95.00,0.0000,0.0000,1,7
100,99,20,80.00,100.00,0.0000,0.0000,0,8
150,1,30,80.00,96.67,0.0000,0.0000,1,12
150,10,30,75.00,93.33,0.0000,0.0000,2,15
150,100,30,81.67,100.00,0.0000,0.0000,0,11
150,101,30,76.67,90.00,0.0000,0.0000,3,14
150,102,30,81.67,96.67,0.0000,0.0000,1,11
150,103,30,75.00,90.00,0.0000,0.0000,3,15
150,104,30,66.67,96.67,0.0000,0.0000,1,20
150,105,30,65.00,90.00,0.0000,0.0000,3,21
150,106,30,80.00,96.67,0.0000,0.0000,1,12
150,107,30,53.33,76.67,0.0000,0.0000,7,28
150,108,30,76.67,93.33,0.0000,0.0000,2,14
150,109,30,76.67,100.00,0.0000,0.0000,0,14
150,11,30,80.00,96.67,0.0000,0.0000,1,12
150,110,30,68.33,90.00,0.0000,0.0000,3,19
150,111,30,68.33,93.33,0.0000,0.0000,2,19
150,112,30,81.67,100.00,0.0000,0.0000,0,11
150,113,30,75.00,93.33,0.0000,0.0000,2,15
150,114,30,83.33,100.00,0.0000,0.0000,0,10
150,115,30,76.67,93.33,0.0000,0.0000,2,14
150,116,30,81.67,100.00,0.0000,0.0000,0,11
150,117,30,75.00,96.67,0.0000,0.0000,1,15
150,118,30,78.33,96.67,0.0000,0.0000,1,13
150,119,30,76.67,96.67,0.0000,0.0000,1,14
150,12,30,76.67,96.67,0.0000,0.0000,1,14
150,120,30,85.00,100.00,0.0000,0.0000,0,9
150,121,30,78.33,93.33,0.0000,0.0000,2,13
150,122,30,68.33,86.67,0.0000,0.0000,4,19
150,123,30,80.00,96.67,0.0000,0.0000,1,12
150,124,30,75.00,90.00,0.0000,0.0000,3,15
150,125,30,68.33,86.67,0.0000,0.0000,4,19
150,126,30,80.00,93.33,0.0000,0.0000,2,12
150,127,30,80.00,100.00,0.0000,0.0000,0,12
150,128,30,76.67,100.00,0.0000,0.0000,0,14
150,129,30,81.67,96.67,0.0000,0.0000,1,11
150,13,30,71.67,93.33,0.0000,0.0000,2,17
150,130,30,80.00,93.33,0.0000,0.0000,2,12
150,131,30,78.33,96.67,0.0000,0.0000,1,13
150,132,30,73.33,93.33,0.0000,0.0000,2,16
150,133,30,80.00,96.67,0.0000,0.0000,1,12
150,134,30,76.67,93.33,0.0000,0.0000,2,14
150,135,30,83.33,96.67,0.0000,0.0000,1,10
150,136,30,75.00,100.00,0.0000,0.0000,0,15
150,137,30,71.67,96.67,0.0000,0.0000,1,17
150,138,30,85.00,96.67,0.0000,0.0000,1,9
150,139,30,68.33,90.00,0.0000,0.0000,3,19
150,14,30,70.00,96.67,0.0000,0.0000,1,18
150,140,30,71.67,90.00,0.0000,0.0000,3,17
150,141,30,80.00,96.67,0.0000,0.0000,1,12
150,142,30,75.00,96.67,0.0000,0.0000,1,15
150,143,30,75.00,96.67,0.0000,0.0000,1,15
150,144,30,81.67,100.00,0.0000,0.0000,0,11
150,145,30,81.67,96.67,0.0000,0.0000,1,11
150,146,30,76.67,93.33,0.0000,0.0000,2,14
150,147,30,65.00,86.67,0.0000,0.0000,4,21
150,148,30,66.67,86.67,0.0000,0.0000,4,20
150,149,30,68.33,93.33,0.0000,0.0000,2,19
150,15,30,61.67,86.67,0.0000,0.0000,4,23
150,150,30,78.33,96.67,0.0000,0.0000,1,13
150,151,30,73.33,96.67,0.0000,0.0000,1,16
150,152,30,78.33,93.33,0.0000,0.0000,2,13
150,153,30,66.67,93.33,0.0000,0.0000,2,20
150,154,30,81.67,100.00,0.0000,0.0000,0,11
150,155,30,71.67,96.67,0.0000,0.0000,1,17
150,156,30,81.67,100.00,0.0000,0.0000,0,11
150,157,30,78.33,96.67,0.0000,0.0000,1,13
150,158,30,80.00,96.67,0.0000,0.0000,1,12
150,159,30,70.00,93.33,0.0000,0.0000,2,18
150,16,30,78.33,96.67,0.0000,0.0000,1,13
150,160,30,73.33,100.00,0.0000,0.0000,0,16
150,161,30,73.33,90.00,0.0000,0.0000,3,16
150,162,30,76.67,96.67,0.0000,0.0000,1,14
150,163,30,70.00,93.33,0.0000,0.0000,2,18
150,164,30,71.67,86.67,0.0000,0.0000,4,17
150,165,30,76.67,90.00,0.0000,0.0000,3,14
150,166,30,75.00,96.67,0.0000,0.0000,1,15
150,167,30,83.33,100.00,0.0000,0.0000,0,10
150,168,30,75.00,93.33,0.0000,0.0000,2,15
150,169,30,60.00,93.33,0.0000,0.0000,2,24
150,17,30,76.67,96.67,0.0000,0.0000,1,14
150,170,30,78.33,96.67,0.0000,0.0000,1,13
150,171,30,76.67,93.33,0.0000,0.0000,2,14
150,172,30,71.67,93.33,0.0000,0.0000,2,17
150,173,30,81.67,100.00,0.0000,0.0000,0,11
150,174,30,71.67,96.67,0.0000,0.0000,1,17
