topk,tested_nodes,fault_coverage(%),node_coverage(%),avg_rmse,max_rmse,escaped_nodes,escaped_faults
860,172,60.76,86.63,0.0000,0.0000,23,135
865,173,60.69,86.13,0.0000,0.0000,24,136
870,174,63.22,89.08,0.0000,0.0000,19,128
875,175,62.00,87.43,0.0000,0.0000,22,133
880,176,61.08,86.93,0.0000,0.0000,23,137
885,177,61.30,88.14,0.0000,0.0000,21,137
890,178,61.52,87.08,0.0000,0.0000,23,137
895,179,61.45,87.15,0.0000,0.0000,23,138
900,180,60.56,86.11,0.0000,0.0000,25,142
905,181,61.05,87.29,0.0000,0.0000,23,141
910,182,61.54,88.46,0.0000,0.0000,21,140
915,183,58.74,85.25,0.0000,0.0000,27,151
920,184,61.41,87.50,0.0000,0.0000,23,142
925,185,62.97,89.19,0.0000,0.0000,20,137
930,186,59.68,86.02,0.0000,0.0000,26,150
935,187,60.96,87.17,0.0000,0.0000,24,146
940,188,62.23,88.83,0.0000,0.0000,21,142
945,189,63.23,86.77,0.0000,0.0000,25,139
950,190,61.58,87.37,0.0000,0.0000,24,146
955,191,60.73,85.86,0.0000,0.0000,27,150
960,192,62.24,88.54,0.0000,0.0000,22,145
965,193,60.10,85.49,0.0000,0.0000,28,154
970,194,62.37,88.14,0.0000,0.0000,23,146
975,195,60.26,86.15,0.0000,0.0000,27,155
980,196,61.48,86.73,0.0000,0.0000,26,151
985,197,61.42,87.82,0.0000,0.0000,24,152
990,198,58.33,84.34,0.0000,0.0000,31,165
995,199,60.05,85.43,0.0000,0.0000,29,159
1000,200,59.00,84.50,0.0000,0.0000,31,164
1005,201,59.95,86.57,0.0000,0.0000,27,161
1010,202,59.41,85.64,0.0000,0.0000,29,164
1015,203,58.13,84.24,0.0000,0.0000,32,170
1020,204,62.75,87.75,0.0000,0.0000,25,152
1025,205,60.24,85.37,0.0000,0.0000,30,163
1030,206,58.01,83.50,0.0000,0.0000,34,173
1035,207,58.70,85.99,0.0000,0.0000,29,171
1040,208,58.65,85.10,0.0000,0.0000,31,172
1045,209,60.53,87.56,0.0000,0.0000,26,165
1050,210,63.57,88.10,0.0000,0.0000,25,153
1055,211,58.53,84.36,0.0000,0.0000,33,175
1060,212,62.74,86.79,0.0000,0.0000,28,158
1065,213,60.09,84.51,0.0000,0.0000,33,170
1070,214,62.38,88.32,0.0000,0.0000,25,161
1075,215,60.47,86.51,0.0000,0.0000,29,170
1080,216,60.42,85.65,0.0000,0.0000,31,171
1085,217,60.83,85.71,0.0000,0.0000,31,170
1090,218,60.55,85.78,0.0000,0.0000,31,172
1095,219,60.73,86.76,0.0000,0.0000,29,172
1100,220,60.23,86.36,0.0000,0.0000,30,175
1105,221,61.54,86.88,0.0000,0.0000,29,170
1110,222,58.11,84.23,0.0000,0.0000,35,186
1115,223,57.85,84.30,0.0000,0.0000,35,188
1120,224,59.60,85.27,0.0000,0.0000,33,181
1125,225,56.67,83.56,0.0000,0.0000,37,195
1130,226,60.84,85.40,0.0000,0.0000,33,177
1135,227,59.25,85.02,0.0000,0.0000,34,185
1140,228,59.65,85.96,0.0000,0.0000,32,184
1145,229,57.42,83.41,0.0000,0.0000,38,195
1150,230,58.91,85.65,0.0000,0.0000,33,189
1155,231,57.79,83.98,0.0000,0.0000,37,195
1160,232,59.91,84.91,0.0000,0.0000,35,186
1165,233,60.09,84.98,0.0000,0.0000,35,186
1170,234,57.69,82.05,0.0000,0.0000,42,198
1175,235,56.17,81.70,0.0000,0.0000,43,206
1180,236,60.59,85.17,0.0000,0.0000,35,186
1185,237,58.86,83.97,0.0000,0.0000,38,195
1190,238,60.71,86.13,0.0000,0.0000,33,187
1195,239,61.51,88.28,0.0000,0.0000,28,184
1200,240,59.17,84.17,0.0000,0.0000,38,196
1205,241,60.17,84.65,0.0000,0.0000,37,192
1210,242,57.85,83.88,0.0000,0.0000,39,204
1215,243,58.85,85.19,0.0000,0.0000,36,200
1220,244,60.04,84.84,0.0000,0.0000,37,195
